thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
51.71,40.71,8.39,30.4,1.83,68.84,41.37,31.03,6.82,13.6,11.53,8.65,9.59,-10.52,0.67,0.5,-28.53,5.2,0.22,0.16
52.26,40.97,8.39,28.57,1.65,70.51,38.01,28.51,6.78,13.29,8.89,6.67,9.48,-10.01,0.4,0.3,-30.07,2.25,0.16,0.12
52.91,41.81,8.39,27.91,1.59,71.06,37.67,28.25,6.67,13.62,8.74,6.55,9.27,-9.05,0.31,0.23,-31.32,-0.52,0.14,0.1
52.61,41.77,8.39,27.37,1.59,70.96,37.11,27.83,6.53,14.39,8.63,6.47,8.22,-4.18,0.17,0.13,-30.94,1.16,0.08,0.06
52.24,41.42,8.39,27.49,1.62,70.57,37.16,27.87,5.21,22.32,8.64,6.48,6.82,2.22,0.18,0.14,-29.49,2.95,0.06,0.04
51.93,41.53,8.36,27.86,1.43,69.97,37.79,28.34,3.09,31.43,9.09,6.81,5.55,7.97,0.24,0.18,-28.18,4.18,0.06,0.04
50.75,42.68,8.22,29.18,1.27,69.63,40.54,30.4,-3.25,46.69,31.66,23.74,0.83,11.03,1.79,1.34,-26.16,6.97,0.06,0.05
49.22,44.28,8.11,30.49,1.23,69.1,42.54,31.9,-3.13,48.17,32.61,24.46,0.81,12.87,5.34,4,-23.4,12.22,0.08,0.06
46.86,44.61,8.03,30.09,1.21,68.34,45.54,34.15,-2.99,48.48,32.93,24.7,0.26,18.27,16.27,12.21,-17.33,21.21,0.16,0.12
44.79,45.08,7.87,30.34,1.13,68.22,47.67,35.76,-2.78,47.39,34.17,25.63,1.15,14.8,16.17,12.13,-15.14,23.9,0.28,0.21
